id,created_at,updated_at,filter_id,title
01KHPX62R6RAVFMQ,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Xiyar turşusu"",""en"":""Cucumber pickle"",""ru"":""Огуречный маринад""}"
01KHPX62R6RMEA6X,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Çovdar çörəyi"",""en"":""Rye bread"",""ru"":""ржаной хлеб""}"
01KHPX62R6S6AV9E,2024-07-11 12:52:57.956+00,,01KHPX62K8BSSVQF,"{""az"":""Stevia şəkər əvəzedicisi"",""en"":""Stevia is a sugar substitute"",""ru"":""Стевия – заменитель сахара""}"
01KHPX62R6TPJF37,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Albalı Mürəbbəsi"",""en"":""Cherry Jam"",""ru"":""Вишневый джем""}"
01KHPX62R6VXWVWW,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Snickers Mürəbbəsi"",""en"":""Snickers Jam"",""ru"":""Сникерс Джем""}"
01KHPX62R6VYD1XM,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Ananas Mürəbbəsi"",""en"":""Pineapple Jam"",""ru"":""Ананасовый джем""}"
01KHPX62R6WP7T9Q,2024-07-11 12:52:57.956+00,,01KHPX62K8CD0A9B,"{""az"":""Bitki çayı"",""en"":""Herbal tea"",""ru"":""Травяной чай""}"
01KHPX62R6WQ3ZFN,2024-07-11 12:52:57.956+00,,01KHPX62K8V4NZ6J,"{""az"":""Az yağlı"",""en"":""Low fat"",""ru"":""С низким содержанием жира""}"
01KHPX62R6X73RB5,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Kinoalı çörək"",""en"":""Quinoa bread"",""ru"":""Хлеб из киноа""}"
01KHPX62R6XMW7F6,2024-07-11 12:52:57.956+00,,01KHPX62K8FEJW5W,"{""az"":""Digər"",""en"":""other"",""ru"":""другой""}"
01KHPX62R6XZFG58,2024-07-11 12:52:57.956+00,,01KHPX62K8BSSVQF,"{""az"":""Sukraloz şəkər əvəzedicisi"",""en"":""Sucralose is a sugar substitute"",""ru"":""Сукралоза – заменитель сахара""}"
01KHPX62R6Y07TAA,2024-07-11 12:52:59.066154+00,,01KHPX62K6DSFSNE,"{""az"":""5"",""en"":""5"",""ru"":""5""}"
01KHPX62R6Y0XY5H,2024-07-11 12:52:57.956+00,,01KHPX62K8VKYAJC,"{""az"":""Protein çörəkləri"",""en"":""Protein breads"",""ru"":""Протеиновые хлебцы""}"
01KHPX62R6YM0XXF,2024-07-11 12:52:57.956+00,,01KHPX62K82S1HC7,"{""az"":""Badımcan turşusu"",""en"":""Eggplant pickle"",""ru"":""Баклажан маринованный""}"
01KHPX62R6YRV29D,2024-07-11 12:52:57.956+00,,01KHPX62K872GJ1F,"{""az"":""Yumşaq Qaymaq"",""en"":""Soft Cream"",""ru"":""Мягкий крем""}"
01KHPX62R6Z76BZG,2024-07-11 12:52:57.956+00,,01KHPX62K8FEJW5W,"{""az"":""Sadə"",""en"":""Simple"",""ru"":""Простой""}"
01KHPX62R6ZKZHFN,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Çiyələk Mürəbbəsi"",""en"":""Strawberry jam"",""ru"":""клубничный джем""}"
01KHPX62R6ZPMBAR,2024-07-11 12:52:57.956+00,,01KHPX62K8BSSVQF,"{""az"":""Ksilitol şəkər əvəzedicisi"",""en"":""Xylitol is a sugar substitute"",""ru"":""Ксилит – заменитель сахара.""}"
01KHPX62R6ZTYKD2,2024-07-11 12:52:57.956+00,,01KHPX62K80RR2MG,"{""az"":""Kakaolu"",""en"":""Cocoa"",""ru"":""Какао""}"
01KHPX62R700DD0X,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""University of Paris"",""en"":""University of Paris"",""ru"":""Парижский университет""}"
01KHPX62R700F1MF,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Nar kompotu"",""en"":""Pomegranate compote"",""ru"":""Гранатовый компот""}"
01KHPX62R700Z3QS,2024-07-11 12:52:58.632784+00,,01KHPX62K5CE5DVQ,"{""az"":""1963"",""en"":""1963"",""ru"":""1963""}"
01KHPX62R703PVK2,2024-07-11 12:52:57.956+00,,01KHPX62K819PBQH,"{""az"":""Bal"",""en"":""Honey"",""ru"":""Мед""}"
01KHPX62R704C1FB,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Zoğal kompotu"",""en"":""Cranberry compote"",""ru"":""Клюквенный компот""}"
01KHPX62R706RAAJ,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Yemişanlı feyxoa kompotu"",""en"":""Hawthorn feijoa compote"",""ru"":""Компот из боярышника и фейхоа""}"
01KHPX62R708CPXV,2024-07-11 12:52:58.632784+00,,01KHPX62K5DG6AJZ,"{""az"":""Milli Yol"",""en"":""National Road"",""ru"":""Национальная дорога""}"
01KHPX62R70E3S33,2024-07-11 12:52:57.956+00,,01KHPX62K8336BEB,"{""az"":""Digər"",""en"":""Other"",""ru"":""Другой""}"
01KHPX62R70RY7RJ,2024-07-11 12:52:57.956+00,,01KHPX62K870RMRS,"{""az"":""Yaşıl çay nanəli"",""en"":""Green tea mint"",""ru"":""Зеленый чай с мятой""}"
01KHPX62R70SK58Z,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""Monash University"",""en"":""Monash University"",""ru"":""Университет Монаша""}"
01KHPX62R70V97TY,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Karandaş yonan"",""en"":""Pencil Sharpener"",""ru"":""Точилка""}"
01KHPX62R70VAV7Z,2024-07-11 12:52:57.956+00,,01KHPX62K8336BEB,"{""az"":""Pizza"",""en"":""Pizza"",""ru"":""Пицца""}"
01KHPX62R711AKSC,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Digər"",""en"":""Other"",""ru"":""Другой""}"
01KHPX62R717NGR2,2024-07-11 12:52:58.632784+00,,01KHPX62K5EJDR4C,"{""az"":"".int"",""en"":"".int"",""ru"":"".int""}"
01KHPX62R71H6C6R,2024-07-11 12:52:57.956+00,,01KHPX62K819PBQH,"{""az"":""Arı südü"",""en"":""Bee milk"",""ru"":""Пчелиное молоко""}"
01KHPX62R71HQ0B8,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""Qarpız qabığı cemi"",""en"":""Watermelon rind jami"",""ru"":""Джами из арбузной кожуры""}"
01KHPX62R71JHJ4R,2024-07-11 12:52:57.956+00,,01KHPX62K819PBQH,"{""az"":""Pərga (arı çörəyi)"",""en"":""Parga (bee bread)"",""ru"":""Парга (перга)""}"
01KHPX62R71M6VFS,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Yapışqan"",""en"":""Adhesive"",""ru"":""Клей""}"
01KHPX62R71NNJ3X,2024-07-11 12:52:57.956+00,,01KHPX62K8336BEB,"{""az"":""Hotdog"",""en"":""Hot dog"",""ru"":""Хот-дог""}"
01KHPX62R71YSQ0D,2024-07-11 12:52:57.956+00,,01KHPX62K870RMRS,"{""az"":""Qara çay meyvəli"",""en"":""Black tea is fruity"",""ru"":""Черный чай фруктовый""}"
01KHPX62R721VV9J,2024-07-11 12:52:57.956+00,,01KHPX62K8DYN3KR,"{""az"":""Nar"",""en"":""Pomegranate"",""ru"":""Гранат""}"
01KHPX62R7226KBR,2024-07-11 12:52:57.956+00,,01KHPX62K8DYN3KR,"{""az"":""Qarışıq tropik meyve"",""en"":""Mixed tropical fruit"",""ru"":""Смесь тропических фруктов""}"
01KHPX62R727WCG3,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Yazı taxtası"",""en"":""Blackboard"",""ru"":""доска""}"
01KHPX62R72FJKNX,2024-07-11 12:52:58.632784+00,,01KHPX62K5CE5DVQ,"{""az"":""1946"",""en"":""1946"",""ru"":""1946""}"
01KHPX62R72G2P5H,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""İdman geyimləri"",""en"":""Sportswear"",""ru"":""Спортивная одежда""}"
01KHPX62R72PQSNC,2024-07-11 12:52:58.632784+00,,01KHPX62K5WPX30G,"{""az"":""Ənənəvi Ofline"",""en"":""Traditional Offline"",""ru"":""Традиционный оффлайн""}"
01KHPX62R72YV0S0,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Sulu boya"",""en"":""Watercolor"",""ru"":""Акварель""}"
01KHPX62R73BXFN1,2024-07-11 12:52:58.632784+00,,01KHPX62K5CE5DVQ,"{""az"":""1948"",""en"":""1948"",""ru"":""1948""}"
01KHPX62R73M9WD2,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Əncir Mürəbbəsi"",""en"":""Fig Jam"",""ru"":""Инжирное варенье""}"
01KHPX62R73TZPH5,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""University of Queensland"",""en"":""University of Queensland"",""ru"":""Университет Квинсленда""}"
01KHPX62R73Y2ZD5,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Üzüm Mürəbbəsi"",""en"":""Grape Jam"",""ru"":""Виноградное варенье""}"
01KHPX62R7425AW1,2024-07-11 12:52:58.632784+00,,01KHPX62K5EJDR4C,"{""az"":"".info"",""en"":"".info"",""ru"":"".info""}"
01KHPX62R742K87X,2024-07-11 12:52:57.956+00,,01KHPX62K8336BEB,"{""az"":""Submarine Sandwich (Sub)"",""en"":""Submarine Sandwich (Sub)"",""ru"":""Подводный сэндвич (Суб)""}"
01KHPX62R743MG12,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Ayaqqabı"",""en"":""shoe"",""ru"":""туфля""}"
01KHPX62R744P58A,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""McGill University"",""en"":""McGill University"",""ru"":""Университет Макгилла""}"
01KHPX62R7450EZP,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""Harvard University"",""en"":""Harvard University"",""ru"":""Гарвардский университет""}"
01KHPX62R749C9KE,2024-07-11 12:52:58.632784+00,,01KHPX62K5CMP07P,"{""az"":""Xeyr"",""en"":""No"",""ru"":""Нет""}"
01KHPX62R74NWXGE,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""Technical University of Munich (TUM)"",""en"":""Technical University of Munich (TUM)"",""ru"":""Технический университет Мюнхена (ТУМ)""}"
01KHPX62R74PPK04,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Markerlər"",""en"":""Markers"",""ru"":""Маркеры""}"
01KHPX62R74V1X05,2024-07-11 12:52:57.956+00,,01KHPX62K89DJYN2,"{""az"":""Manqo"",""en"":""Mango"",""ru"":""манго""}"
01KHPX62R74W71FF,2024-07-11 12:52:57.956+00,,01KHPX62K89DJYN2,"{""az"":""Çiyələk"",""en"":""Strawberry"",""ru"":""Клубника""}"
01KHPX62R74WAHX2,2024-07-11 12:52:57.956+00,,01KHPX62K870RMRS,"{""az"":""Yaşıl çay sadə"",""en"":""Green tea is simple"",""ru"":""Зеленый чай – это просто""}"
01KHPX62R74YZ54H,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""Feyxoa cemi"",""en"":""Feijoa jam"",""ru"":""Фейхоа Чеми""}"
01KHPX62R756C2ZJ,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Şaftalı kompotu"",""en"":""Peach compote"",""ru"":""Персиковый компот""}"
01KHPX62R756KC74,2024-07-11 12:52:58.632784+00,,01KHPX62K5CE5DVQ,"{""az"":""1957"",""en"":""1957"",""ru"":""1957""}"
01KHPX62R75JA78H,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Lövhə"",""en"":""Board"",""ru"":""Доска""}"
01KHPX62R75JKFCY,2024-07-11 12:52:58.632784+00,,01KHPX62K5NS7NC8,"{""az"":""Fərdi Müəllim"",""en"":""Private Teacher"",""ru"":""Частный учитель""}"
01KHPX62R75K8AQ4,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Bounty mürəbbəsi"",""en"":""Bounty jam"",""ru"":""Баунти джем""}"
01KHPX62R75MSBBH,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""University of California, Berkeley"",""en"":""University of California, Berkeley"",""ru"":""Калифорнийский университет, Беркли""}"
01KHPX62R75WWC2G,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""Digər"",""en"":""Other"",""ru"":""Другой""}"
01KHPX62R762NZBC,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZR5AH9,"{""az"":""İşlənmiş"",""en"":""Processed"",""ru"":""Исползованний""}"
01KHPX62R769KKXS,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""California Institute of Technology (Caltech)"",""en"":""California Institute of Technology (Caltech)"",""ru"":""Калифорнийский технологический институт (Калтех)""}"
01KHPX62R76CH0JB,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Qələm"",""en"":""Pen"",""ru"":""Ручка""}"
01KHPX62R76EXXTY,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Albalı kompotu"",""en"":""Cherry compote"",""ru"":""Вишневый компот""}"
01KHPX62R76RRY34,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Rəsm albomu"",""en"":""Drawing album"",""ru"":""Альбом для рисования""}"
01KHPX62R76WQV7B,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Yemişanlı heyva kompotu"",""en"":""Quince compote with hawthorn"",""ru"":""Компот из айвы с боярышником""}"
01KHPX62R771T6PN,2024-07-11 12:52:57.956+00,,01KHPX62K8336BEB,"{""az"":""Taco"",""en"":""Tacos"",""ru"":""Тако""}"
01KHPX62R777PK99,2024-07-11 12:52:58.632784+00,,01KHPX62K5CE5DVQ,"{""az"":""1966"",""en"":""1966"",""ru"":""1966""}"
01KHPX62R778RKY5,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""Banan cemi"",""en"":""Banana jam"",""ru"":""Банановый варенье""}"
01KHPX62R77DBZX0,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Zoğal Mürəbbəsi"",""en"":""Cranberry Jam"",""ru"":""Клюквенное варенье""}"
01KHPX62R77E0V8Z,2024-07-11 12:52:57.956+00,,01KHPX62K8336BEB,"{""az"":""Hamburger"",""en"":""Hamburger"",""ru"":""Гамбургер""}"
01KHPX62R77F1CFE,2024-07-11 12:52:58.632784+00,,01KHPX62K5CMP07P,"{""az"":""Bəli"",""en"":""Yes"",""ru"":""Да""}"
01KHPX62R77GFXPB,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""Gavalı cemi"",""en"":""Plum jam"",""ru"":""Сливовый джем""}"
01KHPX62R77JNT3M,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Badam Mürəbbəsi"",""en"":""Almond jam"",""ru"":""Миндальное варенье""}"
01KHPX62R77MQ1HH,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""École Polytechnique"",""en"":""École Polytechnique"",""ru"":""Политехническая школа""}"
01KHPX62R77NZ8TR,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""Portağal cemi"",""en"":""Orange jam"",""ru"":""апельсиновый варенье""}"
01KHPX62R77W6GY6,2024-07-11 12:52:58.632784+00,,01KHPX62K5THZQRJ,"{""az"":""Digər"",""en"":""Other"",""ru"":""другой""}"
01KHPX62R77YJFZV,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Qovluq məktəblilər üçün"",""en"":""Folder for schoolchildren"",""ru"":""Папка для школьников""}"
01KHPX62R77ZT2EE,2024-07-11 12:52:58.632784+00,,01KHPX62K5DG6AJZ,"{""az"":""Şərq qəzeti"",""en"":""Eastern newspaper"",""ru"":""Восточная газета""}"
01KHPX62R78HNPMT,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Çanta"",""en"":""Bag"",""ru"":""Сумка""}"
01KHPX62R78J0A4Q,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""Imperial College London"",""en"":""Imperial College London"",""ru"":""Имперский колледж Лондон""}"
01KHPX62R78TM0HE,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Alma kompotu"",""en"":""Apple compote"",""ru"":""Яблочный компот""}"
01KHPX62R78YAXC8,2024-07-11 12:52:57.956+00,,01KHPX62K82R8X0M,"{""az"":""Gazlı"",""en"":""Gaseous"",""ru"":""Газообразный""}"
01KHPX62R790BW8K,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""Şaftalı cemi"",""en"":""Peach jam"",""ru"":""Персиковое варенье""}"
01KHPX62R79RQPMR,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""University of British Columbia"",""en"":""University of British Columbia"",""ru"":""Университет Британской Колумбии""}"
01KHPX62R79RTXG5,2024-07-11 12:52:57.956+00,,01KHPX62K89DJYN2,"{""az"":""Şaftalı"",""en"":""Peach"",""ru"":""Персик""}"
01KHPX62R79WQ0RG,2024-07-11 12:52:58.632784+00,,01KHPX62K5DG6AJZ,"{""az"":""Xalq qəzeti"",""en"":""People's newspaper"",""ru"":""Народная газета""}"
01KHPX62R79YY333,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Feyxoa kompotu"",""en"":""Feijoa compote"",""ru"":""Компот из фейхоа""}"
01KHPX62R7A70QX2,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""İtburnu cemi"",""en"":""Rose hip jam"",""ru"":""Шиповник варенье""}"
01KHPX62R7ADR2N8,2024-07-11 12:52:57.956+00,,01KHPX62K8QQRRZ1,"{""az"":""Ənənəvi Soyuq Kakao"",""en"":""Traditional Cold Cocoa"",""ru"":""Традиционное холодное какао""}"
01KHPX62R7AH6MG1,2024-07-11 12:52:58.632784+00,,01KHPX62K5EJDR4C,"{""az"":"".ru"",""en"":"".ru"",""ru"":"".ru""}"
01KHPX62R7AM6XWM,2024-07-11 12:52:57.956+00,,01KHPX62K8AJAA5B,"{""az"":""Balqabaq cemi"",""en"":""Pumpkin jam"",""ru"":""Тыквенное варенье""}"
01KHPX62R7AMNKT3,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Reyhan kompotu"",""en"":""Basil compote"",""ru"":""Компот из базилика""}"
01KHPX62R7AVMAKT,2024-07-11 12:52:57.956+00,,01KHPX62K8VFHBHH,"{""az"":""Digər"",""en"":""Other"",""ru"":""Другой""}"
01KHPX62R7AVNHJ5,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""University of Sydney"",""en"":""University of Sydney"",""ru"":""Сиднейский университет""}"
01KHPX62R7AW66CR,2024-07-11 12:52:58.632784+00,,01KHPX62K5THZQRJ,"{""az"":""İqtisadiyyat və Biznes Jurnalları"",""en"":""Economics and Business Journals"",""ru"":""Журналы по экономике и бизнесу""}"
01KHPX62R7B423P9,2024-07-11 12:52:58.632784+00,,01KHPX62K5ZSFBR0,"{""az"":""Xətkeş"",""en"":""Khatkesh"",""ru"":""Хаткеш""}"
01KHPX62R7B4S3H0,2024-07-11 12:52:57.956+00,,01KHPX62K8XHPPMX,"{""az"":""Qırmızı alça kompotu"",""en"":""Red cherry compote"",""ru"":""Компот из красной вишни""}"
01KHPX62R7BBAMCN,2024-07-11 12:52:58.632784+00,,01KHPX62K5TTG5VD,"{""az"":""École Normale Supérieure, Paris"",""en"":""École Normale Supérieure, Paris"",""ru"":""Высшая нормальная школа, Париж""}"
01KHPX62R7BBRCFY,2024-07-11 12:52:58.632784+00,,01KHPX62K5EJDR4C,"{""az"":"".edu"",""en"":"".edu"",""ru"":"".edu""}"
